PMCID,RCT,PMCFILE
PMC29099,False,PMC29099.nxml
PMC29105,False,PMC29105.nxml
PMC32159,False,PMC32159.nxml
PMC32179,False,PMC32179.nxml
PMC35278,False,PMC35278.nxml
PMC57735,False,PMC57735.nxml
PMC59528,False,PMC59528.nxml
PMC59547,False,PMC59547.nxml
PMC59563,False,PMC59563.nxml
PMC59600,False,PMC59600.nxml
PMC64502,False,PMC64502.nxml
PMC64823,False,PMC64823.nxml
PMC100321,False,PMC100321.nxml
PMC101407,False,PMC101407.nxml
PMC102333,False,PMC102333.nxml
PMC103662,False,PMC103662.nxml
PMC103664,False,PMC103664.nxml
PMC116584,False,PMC116584.nxml
PMC117443,False,PMC117443.nxml
PMC128923,False,PMC128923.nxml
PMC128935,False,PMC128935.nxml
PMC129984,False,PMC129984.nxml
PMC137289,False,PMC137289.nxml
PMC137300,False,PMC137300.nxml
PMC137451,False,PMC137451.nxml
PMC137936,False,PMC137936.nxml
PMC138655,False,PMC138655.nxml
PMC138701,False,PMC138701.nxml
PMC138706,False,PMC138706.nxml
PMC138709,False,PMC138709.nxml
PMC138721,False,PMC138721.nxml
PMC138739,False,PMC138739.nxml
PMC138907,False,PMC138907.nxml
PMC138975,False,PMC138975.nxml
PMC139368,False,PMC139368.nxml
PMC139408,False,PMC139408.nxml
PMC139443,False,PMC139443.nxml
PMC151288,False,PMC151288.nxml
PMC151297,False,PMC151297.nxml
PMC151301,False,PMC151301.nxml
PMC153445,False,PMC153445.nxml
PMC153535,False,PMC153535.nxml
PMC154131,False,PMC154131.nxml
PMC156578,False,PMC156578.nxml
PMC156579,False,PMC156579.nxml
PMC165004,False,PMC165004.nxml
PMC165069,False,PMC165069.nxml
PMC194711,False,PMC194711.nxml
PMC194752,False,PMC194752.nxml
PMC200977,False,PMC200977.nxml
PMC270604,False,PMC270604.nxml
PMC270703,False,PMC270703.nxml
PMC280659,False,PMC280659.nxml
PMC314406,False,PMC314406.nxml
PMC314418,False,PMC314418.nxml
PMC314456,False,PMC314456.nxml
PMC317300,False,PMC317300.nxml
PMC328442,False,PMC328442.nxml
PMC340943,False,PMC340943.nxml
PMC340955,False,PMC340955.nxml
PMC368439,False,PMC368439.nxml
PMC373443,False,PMC373443.nxml
PMC375526,False,PMC375526.nxml
PMC394315,False,PMC394315.nxml
PMC395843,False,PMC395843.nxml
PMC400685,False,PMC400685.nxml
PMC415552,False,PMC415552.nxml
PMC419364,False,PMC419364.nxml
PMC420026,False,PMC420026.nxml
PMC420260,False,PMC420260.nxml
PMC434489,False,PMC434489.nxml
PMC441383,False,PMC441383.nxml
PMC468644,False,PMC468644.nxml
PMC468673,False,PMC468673.nxml
PMC471545,False,PMC471545.nxml
PMC471557,False,PMC471557.nxml
PMC483059,False,PMC483059.nxml
