PMCID,PMID,NCTID,PMIDs,Randomized,RCT,PMCFILE
PMC2193278,10974034,./NCT0050xxxx/NCT00505375.xml:,<PMID>10974034</PMID>,<allocation>Randomized</allocation>,True,PMC2193278.nxml
PMC138697,11597323,./NCT0040xxxx/NCT00405678.xml:,<PMID>11597323</PMID>,<allocation>Randomized</allocation>,True,PMC138697.nxml
PMC400672,15084243,./NCT0040xxxx/NCT00405678.xml:,<PMID>15084243</PMID>,<allocation>Randomized</allocation>,True,PMC400672.nxml
PMC521689,15377394,./NCT0092xxxx/NCT00928135.xml:,<PMID>15377394</PMID>,<allocation>Randomized</allocation>,True,PMC521689.nxml
PMC1386668,16483382,./NCT0092xxxx/NCT00928135.xml:,<PMID>16483382</PMID>,<allocation>Randomized</allocation>,True,PMC1386668.nxml
PMC17815,11056673,./NCT0075xxxx/NCT00750971.xml:,<PMID>11056673</PMID>,<allocation>Non-Randomized</allocation>,False,PMC17815.nxml
PMC2963502,20980427,./NCT0268xxxx/NCT02684084.xml:,<PMID>20980427</PMID>,<allocation>Randomized</allocation>,True,PMC2963502.nxml
PMC3720664,23901252,./NCT0268xxxx/NCT02684084.xml:,<PMID>23901252</PMID>,<allocation>Randomized</allocation>,True,PMC3720664.nxml
PMC2377052,12610500,./NCT0136xxxx/NCT01368107.xml:,<PMID>12610500</PMID>,<allocation>Randomized</allocation>,True,PMC2377052.nxml
PMC2442646,18573906,./NCT0136xxxx/NCT01368107.xml:,<PMID>18573906</PMID>,<allocation>Randomized</allocation>,True,PMC2442646.nxml
PMC3381639,22550117,./NCT0136xxxx/NCT01368107.xml:,<PMID>22550117</PMID>,<allocation>Randomized</allocation>,True,PMC3381639.nxml
PMC3757932,23644516,./NCT0263xxxx/NCT02632019.xml:,<PMID>23644516</PMID>,<allocation>Randomized</allocation>,True,PMC3757932.nxml
PMC4246418,25428505,./NCT0263xxxx/NCT02632019.xml:,<PMID>25428505</PMID>,<allocation>Randomized</allocation>,True,PMC4246418.nxml
PMC4279952,25428507,./NCT0263xxxx/NCT02632019.xml:,<PMID>25428507</PMID>,<allocation>Randomized</allocation>,True,PMC4279952.nxml
PMC4493379,26175922,./NCT0263xxxx/NCT02632019.xml:,<PMID>26175922</PMID>,<allocation>Randomized</allocation>,True,PMC4493379.nxml
PMC2885636,20606833,./NCT0140xxxx/NCT01409837.xml:,<PMID>20606833</PMID>,  that took part in the random allocation of treatments at the beginning of the study were,False,PMC2885636.nxml
PMC521194,15361252,./NCT0040xxxx/NCT00406536.xml:,<PMID>15361252</PMID>,<allocation>Randomized</allocation>,True,PMC521194.nxml
PMC2717325,19657388,./NCT0140xxxx/NCT01407432.xml:,<PMID>19657388</PMID>,<allocation>Randomized</allocation>,True,PMC2717325.nxml
PMC1568014,2125560,./NCT0079xxxx/NCT00798876.xml:,<PMID>2125560</PMID>,<allocation>Randomized</allocation>,True,PMC1568014.nxml
PMC1972548,2069852,./NCT0079xxxx/NCT00798876.xml:,<PMID>2069852</PMID>,<allocation>Randomized</allocation>,True,PMC1972548.nxml
PMC2222782,9099957,./NCT0079xxxx/NCT00798876.xml:,<PMID>9099957</PMID>,<allocation>Randomized</allocation>,True,PMC2222782.nxml
PMC2228109,9365156,./NCT0079xxxx/NCT00798876.xml:,<PMID>9365156</PMID>,<allocation>Randomized</allocation>,True,PMC2228109.nxml
PMC2374335,10584888,./NCT0079xxxx/NCT00798876.xml:,<PMID>10584888</PMID>,<allocation>Randomized</allocation>,True,PMC2374335.nxml
PMC29048,11056757,./NCT0036xxxx/NCT00367380.xml:,<PMID>11056757</PMID>,<allocation>Randomized</allocation>,True,PMC29048.nxml
PMC509279,15283866,./NCT0036xxxx/NCT00367380.xml:,<PMID>15283866</PMID>,<allocation>Randomized</allocation>,True,PMC509279.nxml
PMC3422434,22810587,./NCT0308xxxx/NCT03084679.xml:,<PMID>22810587</PMID>,<allocation>Randomized</allocation>,True,PMC3422434.nxml
PMC3828806,23963758,./NCT0308xxxx/NCT03084679.xml:,<PMID>23963758</PMID>,<allocation>Randomized</allocation>,True,PMC3828806.nxml
PMC4309062,24965024,./NCT0308xxxx/NCT03084679.xml:,<PMID>24965024</PMID>,<allocation>Randomized</allocation>,True,PMC4309062.nxml
PMC3334540,22380508,./NCT0283xxxx/NCT02832921.xml:,<PMID>22380508</PMID>,<allocation>Randomized</allocation>,True,PMC3334540.nxml
PMC3742665,23687103,./NCT0283xxxx/NCT02832921.xml:,<PMID>23687103</PMID>,<allocation>Randomized</allocation>,True,PMC3742665.nxml
PMC5049654,26311488,./NCT0283xxxx/NCT02832921.xml:,<PMID>26311488</PMID>,<allocation>Randomized</allocation>,True,PMC5049654.nxml
PMC2839440,19953081,./NCT0051xxxx/NCT00516477.xml:,<PMID>19953081</PMID>,<allocation>Non-Randomized</allocation>,False,PMC2839440.nxml
PMC2133051,9679145,./NCT0330xxxx/NCT03307655.xml:,<PMID>9679145</PMID>,<allocation>Non-Randomized</allocation>,False,PMC2133051.nxml
PMC4277276,25542028,./NCT0330xxxx/NCT03307655.xml:,<PMID>25542028</PMID>,<allocation>Non-Randomized</allocation>,False,PMC4277276.nxml
PMC2565837,18923677,./NCT0302xxxx/NCT03028129.xml:,<PMID>18923677</PMID>,<allocation>Randomized</allocation>,True,PMC2565837.nxml
PMC3006353,21203587,./NCT0302xxxx/NCT03028129.xml:,<PMID>21203587</PMID>,<allocation>Randomized</allocation>,True,PMC3006353.nxml
PMC3800747,23995134,./NCT0302xxxx/NCT03028129.xml:,<PMID>23995134</PMID>,<allocation>Randomized</allocation>,True,PMC3800747.nxml
PMC4344267,25642998,./NCT0302xxxx/NCT03028129.xml:,<PMID>25642998</PMID>,<allocation>Randomized</allocation>,True,PMC4344267.nxml
PMC1950304,17613451,./NCT0273xxxx/NCT02734238.xml:,<PMID>17613451</PMID>,<allocation>Randomized</allocation>,True,PMC1950304.nxml
PMC2789942,20016825,./NCT0273xxxx/NCT02734238.xml:,<PMID>20016825</PMID>,<allocation>Randomized</allocation>,True,PMC2789942.nxml
PMC3321715,22298852,./NCT0273xxxx/NCT02734238.xml:,<PMID>22298852</PMID>,<allocation>Randomized</allocation>,True,PMC3321715.nxml
PMC3400413,22402401,./NCT0273xxxx/NCT02734238.xml:,<PMID>22402401</PMID>,<allocation>Randomized</allocation>,True,PMC3400413.nxml
PMC3955336,24435056,./NCT0273xxxx/NCT02734238.xml:,<PMID>24435056</PMID>,<allocation>Randomized</allocation>,True,PMC3955336.nxml
PMC4325185,25220844,./NCT0273xxxx/NCT02734238.xml:,<PMID>25220844</PMID>,<allocation>Randomized</allocation>,True,PMC4325185.nxml
PMC2228409,17944926,./NCT0180xxxx/NCT01805479.xml:,<PMID>17944926</PMID>,<allocation>Randomized</allocation>,True,PMC2228409.nxml
PMC415551,15109399,./NCT0083xxxx/NCT00836355.xml:,<PMID>15109399</PMID>,<allocation>Randomized</allocation>,True,PMC415551.nxml
PMC2647738,19247502,./NCT0251xxxx/NCT02518672.xml:,<PMID>19247502</PMID>,<allocation>Randomized</allocation>,True,PMC2647738.nxml
PMC1824710,17389912,./NCT0204xxxx/NCT02042248.xml:,<PMID>17389912</PMID>,<allocation>Non-Randomized</allocation>,False,PMC1824710.nxml
PMC1847689,17411338,./NCT0204xxxx/NCT02042248.xml:,<PMID>17411338</PMID>,<allocation>Non-Randomized</allocation>,False,PMC1847689.nxml
PMC2194146,14676302,./NCT0204xxxx/NCT02042248.xml:,<PMID>14676302</PMID>,<allocation>Non-Randomized</allocation>,False,PMC2194146.nxml
PMC2211536,18231576,./NCT0204xxxx/NCT02042248.xml:,<PMID>18231576</PMID>,<allocation>Non-Randomized</allocation>,False,PMC2211536.nxml
PMC2689350,19516896,./NCT0204xxxx/NCT02042248.xml:,<PMID>19516896</PMID>,<allocation>Non-Randomized</allocation>,False,PMC2689350.nxml
PMC2919424,20711481,./NCT0204xxxx/NCT02042248.xml:,<PMID>20711481</PMID>,<allocation>Non-Randomized</allocation>,False,PMC2919424.nxml
PMC3649997,23671416,./NCT0204xxxx/NCT02042248.xml:,<PMID>23671416</PMID>,<allocation>Non-Randomized</allocation>,False,PMC3649997.nxml
PMC3704185,22837004,./NCT0204xxxx/NCT02042248.xml:,<PMID>22837004</PMID>,<allocation>Non-Randomized</allocation>,False,PMC3704185.nxml
PMC1887711,10880527,./NCT0220xxxx/NCT02208167.xml:,<PMID>10880527</PMID>,<allocation>Non-Randomized</allocation>,False,PMC1887711.nxml
PMC2953504,20967271,./NCT0220xxxx/NCT02208167.xml:,<PMID>20967271</PMID>,<allocation>Non-Randomized</allocation>,False,PMC2953504.nxml
PMC3091862,21573003,./NCT0220xxxx/NCT02208167.xml:,<PMID>21573003</PMID>,<allocation>Non-Randomized</allocation>,False,PMC3091862.nxml
